t,x,y,theta,s0,s1,s2,s3,error,P,I,D,pwm_l,pwm_r,vx,omega,on_line,estado,corr_bloqueada
0.08400000000000006,0.663324885925737,1.3919345676896735,-0.015808251763633593,586.0,770.0,89.0,103.0,-1375.968992248062,-55.03875968992248,-0.0,-236.93096702095156,0.75,0.0,0.3915107248009987,-2.059699892644312,True,desviado,False
0.08900000000000007,0.6653071241895979,1.391893669378282,-0.028598135487648002,576.0,772.0,119.0,108.0,-1306.031746031746,-52.24126984126984,-0.0,-81.92698145508685,0.75,0.0,0.39976002680563644,-2.8661439921390057,True,recuperacion,False
0.09400000000000007,0.6673271209575079,1.3918231460543475,-0.04492113978515154,482.0,776.0,139.0,70.0,-1276.7552828902521,-51.07021131561009,-0.0,-22.217131248768133,0.75,0.0,0.40713225507984896,-3.5110328489962885,True,recuperacion,False
0.09500000000000007,0.6677352186985437,1.3918048014978022,-0.048012559860927825,362.0,774.0,117.0,82.0,-1121.3483146067415,-44.853932584269664,-0.0,170.93637006607514,0.0,0.75,0.40850983953070413,-3.0914200757762886,True,recuperacion,False
0.10000000000000007,0.6697945157839218,1.3916962683970466,-0.0577903010328499,294.0,774.0,122.0,75.0,-1034.7826086956522,-41.39130434782609,-0.0,223.5343061395597,0.0,0.75,0.4149517792928724,-1.2530502211374461,True,recuperacion,False
0.10500000000000008,0.6718831564134276,1.3915727761711087,-0.05951394104738671,287.0,774.0,128.0,111.0,-903.0769230769231,-36.12307692307692,-0.0,314.5208370401668,0.0,0.75,0.4207088058181143,0.21703832533685585,True,recuperacion,False
0.11000000000000008,0.6739987913581102,1.3914497562947603,-0.0547969609474561,344.0,774.0,143.0,87.0,-1040.059347181009,-41.602373887240354,-0.0,55.78567700321375,0.0,0.75,0.42585373974112,1.3926234933712267,True,desviado,False
0.11500000000000009,0.6761392432349456,1.3913400491121555,-0.045461787715684786,562.0,769.0,157.0,100.0,-1258.1863979848868,-50.32745591939547,-0.0,-222.70248706240386,0.75,0.0,0.43045165933659774,1.8005280633062157,True,desviado,False
0.12000000000000009,0.6783019923984481,1.39124657775031,-0.041339586872309465,607.0,700.0,92.0,104.0,-1408.5163007318697,-56.34065202927479,-0.0,-336.2876242400623,0.75,0.0,0.4345607236944403,0.22076307963607827,True,desviado,False
0.12500000000000008,0.6804840542156159,1.3911549494999815,-0.044138510715170894,612.0,599.0,88.0,108.0,-1437.810945273632,-57.51243781094528,-0.0,-270.5549104181582,0.75,0.0,0.4382329083741157,-1.0425270046494248,True,desviado,False
0.1300000000000001,0.6826827668928076,1.3910513536483313,-0.052472047793928785,612.0,614.0,116.0,129.0,-1323.5893949694087,-52.94357579877635,-0.0,-52.32257692764284,0.75,0.0,0.44151466284357416,-2.0527417223768976,True,recuperacion,False
0.1350000000000001,0.6848956234960025,1.3909244921918862,-0.06523144700631858,666.0,607.0,114.0,104.0,-1461.4352783366867,-58.45741113346747,-0.0,-202.04086389008364,0.75,0.0,0.4444474980186184,-2.8605797546768157,True,desviado,False
0.1400000000000001,0.6871201198519413,1.3907651559681324,-0.08153007376560743,653.0,626.0,118.0,119.0,-1391.820580474934,-55.672823218997365,-0.0,-57.89096728895544,0.75,0.0,0.447068511334522,-3.506583297268496,True,recuperacion,False
0.1450000000000001,0.689353689892774,1.3905658697720968,-0.10065891331746016,668.0,643.0,132.0,125.0,-1364.795918367347,-54.59183673469388,-0.0,-8.094082573164256,0.75,0.0,0.449410855991528,-4.0231727129127295,True,recuperacion,False
0.1500000000000001,0.6915936894561231,1.390320597491721,-0.12205098809367994,692.0,651.0,123.0,150.0,-1332.920792079208,-53.316831683168324,-0.0,32.58429374455179,0.75,0.0,0.45150416030971424,-4.436273581191291,True,recuperacion,False
0.1550000000000001,0.6938374049429675,1.3900244979724123,-0.1447207281609171,582.0,644.0,125.0,121.0,-1292.1195652173913,-51.68478260869565,-0.0,71.77047785536637,0.0,0.75,0.4533749024976457,-4.234442611180917,True,recuperacion,False
0.16000000000000011,0.6960833421950665,1.38968173201574,-0.1595061771681749,513.0,640.0,131.0,116.0,-1214.2857142857142,-48.57142857142857,-0.0,143.6399556167689,0.0,0.75,0.4550467455752633,-2.167090632222447,True,recuperacion,False
0.16500000000000012,0.6983331075954589,1.3893130195113677,-0.16523432906819563,588.0,684.0,133.0,149.0,-1202.059202059202,-48.082368082368085,-0.0,115.21978360355277,0.0,0.75,0.45654083668744816,-0.513892034492561,True,recuperacion,False
0.17000000000000012,0.7005887648544907,1.3889370854552447,-0.16425181070660402,746.0,788.0,148.0,138.0,-1353.8461538461538,-54.15384615384615,-0.0,-101.49049362185515,0.75,0.0,0.45787607459428037,0.27594549135222973,True,desviado,False
