hora,test,s0,s1,s2,s3,error,corr,left,right,kp,kd,estado
11:59:48,1,37,639,23,246,0.98,0.03,179,180,0.03,0.02,desviado
11:59:48,1,27,900,764,357,0.67,0.02,179,180,0.03,0.02,desviado
11:59:48,1,148,221,834,360,-0.78,-0.03,180,179,0.03,0.02,desviado
11:59:48,1,155,125,668,202,0,0,179,180,0.03,0.02,centrado
11:59:48,1,40,831,41,246,0.67,0.02,179,180,0.03,0.02,desviado
11:59:48,1,211,494,21,79,0,0,200,-40,0.03,0.02,recuperacion
11:59:48,1,51,102,872,27,0,0,180,179,0.03,0.02,centrado
11:59:48,1,34,73,451,330,0,0,-40,200,0.03,0.02,recuperacion
11:59:48,1,89,779,40,306,0.62,0.03,179,180,0.03,0.02,centrado
11:59:48,1,45,754,36,268,0.59,0.02,179,180,0.03,0.02,centrado
11:59:48,1,37,599,902,76,0,0,180,179,0.03,0.02,centrado
11:59:48,1,41,35,803,62,-0.93,-0.03,180,179,0.03,0.02,desviado
11:59:48,1,28,36,655,193,0,0,179,180,0.03,0.02,centrado
11:59:48,1,49,868,35,68,0,0,179,180,0.03,0.02,centrado
11:59:49,1,80,4,12,110,1.25,0.03,200,-40,0.03,0.02,recuperacion
11:59:49,1,25,21,19,82,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,949,61,0,145,2.3,0.07,179,180,0.03,0.02,vuelta_derecha
11:59:49,1,39,43,27,35,0.66,0.01,200,-40,0.03,0.02,recuperacion
11:59:49,1,33,45,32,153,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,896,28,28,81,2.47,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:49,1,25,30,25,61,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,28,20,60,35,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,946,68,39,155,2.29,0.07,179,180,0.03,0.02,vuelta_derecha
11:59:49,1,74,70,23,51,0,-0.01,200,-40,0.03,0.02,recuperacion
11:59:49,1,693,94,28,43,2.5,0.08,179,180,0.03,0.02,vuelta_derecha
